id	label	current_type	bucket	degree	suggested_decision	decision
LLM:polygonatum_kingianum_polysaccharide	Polygonatum kingianum polysaccharide	Food	compound_candidate	6	Bioactive	Bioactive
LLM:xanthohumol	Xanthohumol	Food	compound_candidate	6	Bioactive	Bioactive
LLM:apple_polyphenols_extract	apple polyphenols extract	Food	compound_candidate	6	Bioactive	Bioactive
LLM:fructooligosaccharide	fructooligosaccharide	Food	compound_candidate	6	Bioactive	Bioactive
LLM:glycerol_monolaurate	glycerol monolaurate	Food	compound_candidate	6	Bioactive	Bioactive
LLM:tea_polyphenols	tea polyphenols	Food	compound_candidate	6	Bioactive	Bioactive
LLM:yeast_beta-glucan	yeast β-glucan	Food	compound_candidate	6	Bioactive	Bioactive
LLM:beta-carotene	β-carotene	Food	compound_candidate	6	Bioactive	Bioactive
LLM:mediterranean_diet	Mediterranean diet	Food	dietary_pattern	6	keep	keep
LLM:bifidobacterium_animalis_subsp_lactis_bl-99	Bifidobacterium animalis subsp. lactis BL-99	Food	high_confidence_microbe	5	Microbe	Microbe
LLM:bifidobacterium_longum_cect_7894	Bifidobacterium longum CECT 7894	Food	high_confidence_microbe	5	Microbe	Microbe
LLM:candida_utilis	Candida utilis	Food	high_confidence_microbe	5	Microbe	Microbe
LLM:lactobacillus_plantarum_lac16	Lactobacillus plantarum Lac16	Food	high_confidence_microbe	5	Microbe	Microbe
LLM:lactobacillus_plantarum_zj316	Lactobacillus plantarum ZJ316	Food	high_confidence_microbe	5	Microbe	Microbe
LLM:lactobacillus_rhamnosus_sha113	Lactobacillus rhamnosus SHA113	Food	high_confidence_microbe	5	Microbe	Microbe
LLM:2_3_5_4_-tetrahydroxystilbene-2-o-beta-d-glucoside	2,3,5,4'-tetrahydroxystilbene-2-O-β-D-glucoside	Food	medium_microbe	5	Microbe	Bioactive
LLM:bacillus_subtilis-fermented_milk	Bacillus subtilis-fermented milk	Food	medium_microbe	5	Microbe	keep
LLM:lactiplantibacillus_plantarum_zj316-fermented_milk	Lactiplantibacillus plantarum ZJ316-fermented milk	Food	medium_microbe	5	Microbe	keep
LLM:lactobacillus_plantarum_sc-5_and_tyrosol_combination	Lactobacillus plantarum SC-5 and tyrosol combination	Food	medium_microbe	5	Microbe	keep
LLM:5-aminosalicylic_acid	5-aminosalicylic acid	Food	compound_candidate	5	Bioactive	Bioactive
LLM:amomum_tsaoko_flavonoids	Amomum tsaoko flavonoids	Food	compound_candidate	5	Bioactive	Bioactive
LLM:atractylodes_macrocephala_polysaccharide	Atractylodes macrocephala polysaccharide	Food	compound_candidate	5	Bioactive	Bioactive
LLM:cili_polyphenols	CiLi polyphenols	Food	compound_candidate	5	Bioactive	Bioactive
LLM:codonopsis_pilosula_polysaccharide	Codonopsis pilosula polysaccharide	Food	compound_candidate	5	Bioactive	Bioactive
LLM:dehydroandrographolide_succinate	Dehydroandrographolide succinate	Food	compound_candidate	5	Bioactive	Bioactive
LLM:dendrobium_fimbriatum_polysaccharide	Dendrobium fimbriatum polysaccharide	Food	compound_candidate	5	Bioactive	Bioactive
LLM:ficus_carica_polysaccharide	Ficus carica polysaccharide	Food	compound_candidate	5	Bioactive	Bioactive
LLM:fu_brick_tea_polyphenols	Fu brick tea polyphenols	Food	compound_candidate	5	Bioactive	keep
LLM:gastrodia_elata_polysaccharide	Gastrodia elata polysaccharide	Food	compound_candidate	5	Bioactive	Bioactive
LLM:grifola_frondosa_antioxidant_peptides	Grifola frondosa antioxidant peptides	Food	compound_candidate	5	Bioactive	Bioactive
LLM:hansfordia_sinuosae_polysaccharide	Hansfordia sinuosae polysaccharide	Food	compound_candidate	5	Bioactive	Bioactive
LLM:hericium_erinaceus_polysaccharide	Hericium erinaceus polysaccharide	Food	compound_candidate	5	Bioactive	Bioactive
LLM:lonicera_japonica_thunb_polysaccharide	Lonicera japonica Thunb polysaccharide	Food	compound_candidate	5	Bioactive	Bioactive
LLM:lycium_barbarum_glycopeptide	Lycium barbarum Glycopeptide	Food	compound_candidate	5	Bioactive	Bioactive
LLM:mesona_chinensis_benth_polysaccharide	Mesona chinensis Benth polysaccharide	Food	compound_candidate	5	Bioactive	Bioactive
LLM:ornithine_alpha-ketoglutarate	Ornithine α-ketoglutarate	Food	compound_candidate	5	Bioactive	Bioactive
LLM:phellodendri_chinensis_cortex_polysaccharide	Phellodendri chinensis Cortex polysaccharide	Food	compound_candidate	5	Bioactive	Bioactive
LLM:polygonatum_kingianum_polysaccharide_postbiotic	Polygonatum kingianum polysaccharide postbiotic	Food	compound_candidate	5	Bioactive	Bioactive
LLM:polygonatum_sibiricum_polysaccharide	Polygonatum sibiricum polysaccharide	Food	compound_candidate	5	Bioactive	Bioactive
LLM:poria_cocos_polysaccharide	Poria cocos polysaccharide	Food	compound_candidate	5	Bioactive	Bioactive
LLM:rhodiola_crenulata_polysaccharide	Rhodiola crenulata polysaccharide	Food	compound_candidate	5	Bioactive	Bioactive
LLM:smilax_china_polysaccharide	Smilax china polysaccharide	Food	compound_candidate	5	Bioactive	Bioactive
LLM:tieguanyin_oolong_tea_polysaccharides	Tieguanyin oolong tea polysaccharides	Food	compound_candidate	5	Bioactive	Bioactive
LLM:undaria_pinnatifida_polysaccharide	Undaria pinnatifida polysaccharide	Food	compound_candidate	5	Bioactive	Bioactive
LLM:arabinoxylan_hydrolyzate	arabinoxylan hydrolyzate	Food	compound_candidate	5	Bioactive	Bioactive
LLM:aspartate	aspartate	Food	compound_candidate	5	Bioactive	Bioactive
LLM:black_wolfberry_polysaccharide	black wolfberry polysaccharide	Food	compound_candidate	5	Bioactive	Bioactive
LLM:chebulagic_acid	chebulagic acid	Food	compound_candidate	5	Bioactive	Bioactive
LLM:kiwifruit_polyphenol_extract	kiwifruit polyphenol extract	Food	compound_candidate	5	Bioactive	Bioactive
LLM:lactulose	lactulose	Food	compound_candidate	5	Bioactive	Bioactive
LLM:pelargonidin-3-galactoside	pelargonidin-3-galactoside	Food	compound_candidate	5	Bioactive	Bioactive
LLM:plantamajoside	plantamajoside	Food	compound_candidate	5	Bioactive	Bioactive
LLM:short_chain_fatty_acids	short chain fatty acids	Food	compound_candidate	5	Bioactive	Bioactive
LLM:squid-derived_chondroitin_sulfate	squid-derived chondroitin sulfate	Food	compound_candidate	5	Bioactive	Bioactive
LLM:taurodeoxycholic_acid	taurodeoxycholic acid	Food	compound_candidate	5	Bioactive	Bioactive
LLM:walnut_septum_polyphenol	walnut septum polyphenol	Food	compound_candidate	5	Bioactive	Bioactive
LLM:kappa-selenocarrageenan_oligosaccharides	κ-selenocarrageenan oligosaccharides	Food	compound_candidate	5	Bioactive	Bioactive
LLM:crohn_s_disease_exclusion_diet_with_partial_enteral_nutrition	Crohn's Disease Exclusion Diet with Partial Enteral Nutrition	Food	dietary_pattern	5	keep	keep
LLM:mediterranean_diet_pattern	Mediterranean Diet Pattern	Food	dietary_pattern	5	keep	keep
LLM:western_diet	Western diet	Food	dietary_pattern	5	keep	keep
LLM:anti-inflammatory_diet	anti-inflammatory diet	Food	dietary_pattern	5	keep	keep
LLM:elemental_diet	elemental diet	Food	dietary_pattern	5	keep	keep
LLM:hydrolyzed_protein_diet	hydrolyzed protein diet	Food	dietary_pattern	5	keep	keep
LLM:ketogenic_diet	ketogenic diet	Food	dietary_pattern	5	keep	keep
LLM:bacillus_thuringiensis_exopolysaccharide_bps-2	Bacillus thuringiensis exopolysaccharide BPS-2	Food	high_confidence_microbe	4	Microbe	Bioactive
LLM:bacillus_velezensis_mz09	Bacillus velezensis MZ09	Food	high_confidence_microbe	4	Microbe	Microbe
LLM:bacteroides_fragilis_capsular_polysaccharide_tp2	Bacteroides fragilis capsular polysaccharide TP2	Food	high_confidence_microbe	4	Microbe	Bioactive
LLM:bifidobacterium_bifidum_m1-3	Bifidobacterium bifidum M1-3	Food	high_confidence_microbe	4	Microbe	Microbe
LLM:bifidobacterium_breve_shmb_8001	Bifidobacterium breve SHMB 8001	Food	high_confidence_microbe	4	Microbe	Microbe
LLM:bifidobacterium_longum-endostatin	Bifidobacterium longum-Endostatin	Food	high_confidence_microbe	4	Microbe	Microbe
LLM:clostridium_butyricum-derived_antimicrobial_peptides	Clostridium butyricum-derived antimicrobial peptides	Food	high_confidence_microbe	4	Microbe	Bioactive
LLM:lactobacillus_brevis_al0035	Lactobacillus brevis AL0035	Food	high_confidence_microbe	4	Microbe	Microbe
LLM:lactobacillus_gasseri_jm1	Lactobacillus gasseri JM1	Food	high_confidence_microbe	4	Microbe	Microbe
LLM:lactobacillus_plantarum_q7_extracellular_vesicles	Lactobacillus plantarum Q7 extracellular vesicles	Food	high_confidence_microbe	4	Microbe	Bioactive
LLM:lactococcus_lactis_nz9000_with_mbd14	Lactococcus lactis NZ9000 with mBD14	Food	high_confidence_microbe	4	Microbe	Microbe
LLM:latilactobacillus_sakei_ccfm1267	Latilactobacillus sakei CCFM1267	Food	high_confidence_microbe	4	Microbe	Microbe
LLM:pediococcus_pentosaceus_cect_8330	Pediococcus pentosaceus CECT 8330	Food	high_confidence_microbe	4	Microbe	Microbe
LLM:pediococcus_pentosaceus_li05	Pediococcus pentosaceus LI05	Food	high_confidence_microbe	4	Microbe	Microbe
LLM:prevotella_histicola	Prevotella histicola	Food	high_confidence_microbe	4	Microbe	Microbe
LLM:saccharomyces_boulardii_postbiotics	Saccharomyces boulardii postbiotics	Food	high_confidence_microbe	4	Microbe	Bioactive
LLM:saccharomyces_cerevisiae_i4	Saccharomyces cerevisiae I4	Food	high_confidence_microbe	4	Microbe	Microbe
LLM:weissella_paramesenteroides_nric1542	Weissella paramesenteroides NRIC1542	Food	high_confidence_microbe	4	Microbe	Microbe
LLM:n1-aminopropylagmatine	N1-Aminopropylagmatine	Bioactive	medium_microbe	4	Microbe	Bioactive
LLM:bacillus_natto_jlcc513_and_ginseng-soluble_dietary_fiber	Bacillus natto JLCC513 and ginseng-soluble dietary fiber	Food	medium_microbe	4	Microbe	keep
LLM:biolex_mb40	Biolex MB40	Food	medium_microbe	4	Microbe	keep
LLM:lactiplantibacillus_plantarum_as21	Lactiplantibacillus plantarum AS21	Food	medium_microbe	4	Microbe	Microbe
LLM:lactiplantibacillus_plantarum_cgmcc9513	Lactiplantibacillus plantarum CGMCC9513	Food	medium_microbe	4	Microbe	Microbe
LLM:lactiplantibacillus_plantarum_hy7718	Lactiplantibacillus plantarum HY7718	Food	medium_microbe	4	Microbe	Microbe
LLM:lactiplantibacillus_plantarum_hyy-s10	Lactiplantibacillus plantarum HYY-S10	Food	medium_microbe	4	Microbe	Microbe
LLM:lactiplantibacillus_plantarum_js19-fermented_goat_milk	Lactiplantibacillus plantarum JS19-fermented goat milk	Food	medium_microbe	4	Microbe	keep
LLM:lactobacillus_delbrueckii_cidca_133_fermented_milk	Lactobacillus delbrueckii CIDCA 133 fermented milk	Food	medium_microbe	4	Microbe	keep
LLM:lactobacillus_rhamnosus_and_l_plantarum_combination	Lactobacillus rhamnosus and L. plantarum combination	Food	medium_microbe	4	Microbe	keep
LLM:limosilactobacillus_fermentum_hf06_and_lactiplatibacillus_plantarum_hf05	Limosilactobacillus fermentum HF06 and Lactiplatibacillus plantarum HF05	Food	medium_microbe	4	Microbe	keep
LLM:peonidin-3-o-_3_6-o-dimalonyl-beta-d-glucoside	peonidin-3-O-(3,6-O-dimalonyl-β-D-glucoside)	Food	medium_microbe	4	Microbe	Bioactive
LLM:agaricus_bisporus_polysaccharide	Agaricus bisporus polysaccharide	Food	compound_candidate	4	Bioactive	Bioactive
LLM:arthrospira_platensis_peptide_p1	Arthrospira platensis peptide P1	Food	compound_candidate	4	Bioactive	Bioactive
LLM:cistanche_deserticola_polysaccharide	Cistanche deserticola polysaccharide	Food	compound_candidate	4	Bioactive	Bioactive
LLM:cordyceps_sinensis_polysaccharides	Cordyceps sinensis polysaccharides	Food	compound_candidate	4	Bioactive	Bioactive
LLM:cramp_peptide	Cramp peptide	Food	compound_candidate	4	Bioactive	Bioactive
LLM:euglena_gracilis_beta-1_3-glucan	Euglena gracilis β-1,3-glucan	Food	compound_candidate	4	Bioactive	Bioactive
LLM:hongmeiren_citrus_polysaccharide	Hongmeiren citrus polysaccharide	Food	compound_candidate	4	Bioactive	Bioactive
LLM:houttuynia_cordata_polysaccharides	Houttuynia cordata polysaccharides	Food	compound_candidate	4	Bioactive	Bioactive
LLM:laetiporus_sulphureus_polysaccharide	Laetiporus sulphureus polysaccharide	Food	compound_candidate	4	Bioactive	Bioactive
LLM:laminaria_japonica_polysaccharide	Laminaria japonica polysaccharide	Food	compound_candidate	4	Bioactive	Bioactive
LLM:large-leaf_yellow_tea_peptides	Large-leaf yellow tea peptides	Food	compound_candidate	4	Bioactive	Bioactive
LLM:larimichthys_crocea_isinglass_polysaccharide	Larimichthys crocea isinglass polysaccharide	Food	compound_candidate	4	Bioactive	Bioactive
LLM:lyophyllum_decastes_polysaccharide	Lyophyllum decastes polysaccharide	Food	compound_candidate	4	Bioactive	Bioactive
LLM:nanfeng_tangerine_citrus_polysaccharide	Nanfeng tangerine citrus polysaccharide	Food	compound_candidate	4	Bioactive	Bioactive
LLM:phaeodactylum_tricornutum_polysaccharide	Phaeodactylum tricornutum polysaccharide	Food	compound_candidate	4	Bioactive	Bioactive
LLM:porphyra_haitanensis_polysaccharide	Porphyra haitanensis polysaccharide	Food	compound_candidate	4	Bioactive	Bioactive
LLM:safflower_polysaccharide	Safflower polysaccharide	Food	compound_candidate	4	Bioactive	Bioactive
LLM:sagittaria_sagittifolia_l_polysaccharide	Sagittaria sagittifolia L. polysaccharide	Food	compound_candidate	4	Bioactive	Bioactive
LLM:satsuma_citrus_polysaccharide	Satsuma citrus polysaccharide	Food	compound_candidate	4	Bioactive	Bioactive
LLM:scutellaria_baicalensis_georgi_polysaccharide	Scutellaria baicalensis Georgi polysaccharide	Food	compound_candidate	4	Bioactive	Bioactive
LLM:vitamin_e_delta-tocotrienol	Vitamin E delta-tocotrienol	Food	compound_candidate	4	Bioactive	Bioactive
LLM:agarwood_leaf_polyphenolic_extract	agarwood leaf polyphenolic extract	Food	compound_candidate	4	Bioactive	Bioactive
LLM:bamboo_shoot_polysaccharide	bamboo shoot polysaccharide	Food	compound_candidate	4	Bioactive	Bioactive
LLM:bornyl_acetate	bornyl acetate	Food	compound_candidate	4	Bioactive	Bioactive
LLM:butylchlorogenate	butylchlorogenate	Food	compound_candidate	4	Bioactive	Bioactive
LLM:carvacrol	carvacrol	Food	compound_candidate	4	Bioactive	Bioactive
LLM:compound_polysaccharides	compound polysaccharides	Food	compound_candidate	4	Bioactive	Bioactive
LLM:docosapentaenoic_acid	docosapentaenoic acid	Food	compound_candidate	4	Bioactive	Bioactive
LLM:fructose	fructose	Food	compound_candidate	4	Bioactive	Bioactive
LLM:galactooligosaccharide	galactooligosaccharide	Food	compound_candidate	4	Bioactive	Bioactive
LLM:glucose	glucose	Food	compound_candidate	4	Bioactive	Bioactive
LLM:guar_gum_beta-manno-oligosaccharides	guar gum β-manno-oligosaccharides	Food	compound_candidate	4	Bioactive	Bioactive
LLM:isoxanthohumol	isoxanthohumol	Food	compound_candidate	4	Bioactive	Bioactive
LLM:maize_tetrapeptide	maize tetrapeptide	Food	compound_candidate	4	Bioactive	Bioactive
LLM:microencapsulated_sodium_butyrate	microencapsulated sodium butyrate	Food	compound_candidate	4	Bioactive	Bioactive
LLM:nicotinamide_mononucleotide	nicotinamide mononucleotide	Food	compound_candidate	4	Bioactive	Bioactive
LLM:pear_peel_polyphenols	pear peel polyphenols	Food	compound_candidate	4	Bioactive	Bioactive
LLM:piceatannol	piceatannol	Food	compound_candidate	4	Bioactive	Bioactive
LLM:purple_sweet_potato_anthocyanin_extract	purple sweet potato anthocyanin extract	Food	compound_candidate	4	Bioactive	Bioactive
LLM:sea_cucumber_peptide	sea cucumber peptide	Food	compound_candidate	4	Bioactive	Bioactive
LLM:sinapic_acid	sinapic acid	Food	compound_candidate	4	Bioactive	Bioactive
LLM:sodium_houttuyfonate	sodium houttuyfonate	Food	compound_candidate	4	Bioactive	Bioactive
LLM:tannic_acid	tannic acid	Food	compound_candidate	4	Bioactive	Bioactive
LLM:turmeric_nonextractable_polyphenols	turmeric nonextractable polyphenols	Food	compound_candidate	4	Bioactive	keep
LLM:walnut_protein_peptides	walnut protein peptides	Food	compound_candidate	4	Bioactive	Bioactive
LLM:wheat_bran_polyphenols	wheat bran polyphenols	Food	compound_candidate	4	Bioactive	keep
LLM:wheat_germ_peptide_ape	wheat germ peptide APE	Food	compound_candidate	4	Bioactive	Bioactive
LLM:beef_protein_diet	beef protein diet	Food	dietary_pattern	4	keep	keep
LLM:low_fodmap_diet	low FODMAP diet	Food	dietary_pattern	4	keep	keep
LLM:low-fat_high-fiber_diet	low-fat, high-fiber diet	Food	dietary_pattern	4	keep	keep
LLM:mature_diet	mature diet	Food	dietary_pattern	4	keep	keep
LLM:pro-inflammatory_diet	pro-inflammatory diet	Food	dietary_pattern	4	keep	keep
LLM:akkermansia_muciniphila_one	Akkermansia muciniphila ONE	Food	high_confidence_microbe	3	Microbe	Microbe
LLM:aspergillus_cristatus_intracellular_polysaccharides	Aspergillus cristatus intracellular polysaccharides	Food	high_confidence_microbe	3	Microbe	Bioactive
LLM:bacillus_coagulans_mtcc5856	Bacillus coagulans MTCC5856	Food	high_confidence_microbe	3	Microbe	Microbe
LLM:bacillus_coagulans_sank_70258	Bacillus coagulans SANK 70258	Food	high_confidence_microbe	3	Microbe	Microbe
LLM:bacillus_licheniformis_bl-01	Bacillus licheniformis BL-01	Food	high_confidence_microbe	3	Microbe	Microbe
LLM:bacteroides_salyersiae	Bacteroides salyersiae	Food	high_confidence_microbe	3	Microbe	Microbe
LLM:bacteroides_uniformis_f18-22	Bacteroides uniformis F18-22	Food	high_confidence_microbe	3	Microbe	Microbe
LLM:bifidobacterium_animalis_subsp_lactis_bla80	Bifidobacterium animalis subsp. lactis BLa80	Food	high_confidence_microbe	3	Microbe	Microbe
LLM:bifidobacterium_animalis_subsp_lactis_lkm512	Bifidobacterium animalis subsp. lactis LKM512	Food	high_confidence_microbe	3	Microbe	Microbe
LLM:bifidobacterium_bifidum_bd-1	Bifidobacterium bifidum BD-1	Food	high_confidence_microbe	3	Microbe	Microbe
LLM:bifidobacterium_breve_b2798	Bifidobacterium breve B2798	Food	high_confidence_microbe	3	Microbe	Microbe
LLM:bifidobacterium_lactis_v9	Bifidobacterium lactis V9	Food	high_confidence_microbe	3	Microbe	Microbe
LLM:bifidobacterium_pseudocatenulatum_bi-ota128	Bifidobacterium pseudocatenulatum Bi-OTA128	Food	high_confidence_microbe	3	Microbe	Microbe
LLM:christensenella_intestinihominis_af73-05cm02	Christensenella intestinihominis AF73-05CM02	Food	high_confidence_microbe	3	Microbe	Microbe
LLM:clostridium_butyricum_extracellular_vesicles	Clostridium butyricum extracellular vesicles	Food	high_confidence_microbe	3	Microbe	Bioactive
LLM:faecalibacterium_longum_cm04-06	Faecalibacterium longum CM04-06	Food	high_confidence_microbe	3	Microbe	Microbe
LLM:faecalibacterium_prausnitzii_mam	Faecalibacterium prausnitzii MAM	Food	high_confidence_microbe	3	Microbe	Bioactive
LLM:lactobacillus_acidophilus_kbl402	Lactobacillus acidophilus KBL402	Food	high_confidence_microbe	3	Microbe	Microbe
LLM:lactobacillus_acidophilus_la85	Lactobacillus acidophilus LA85	Food	high_confidence_microbe	3	Microbe	Microbe
LLM:lactobacillus_casei_rhamnosus	Lactobacillus casei rhamnosus	Food	high_confidence_microbe	3	Microbe	Microbe
LLM:lactobacillus_fermentum_016	Lactobacillus fermentum 016	Food	high_confidence_microbe	3	Microbe	Microbe
LLM:lactobacillus_fermentum_kbl375	Lactobacillus fermentum KBL375	Food	high_confidence_microbe	3	Microbe	Microbe
LLM:lactobacillus_fermentum_s1	Lactobacillus fermentum S1	Food	high_confidence_microbe	3	Microbe	Microbe
LLM:lactobacillus_gasseri_g098	Lactobacillus gasseri G098	Food	high_confidence_microbe	3	Microbe	Microbe
LLM:lactobacillus_helveticus_lz-r-5	Lactobacillus helveticus LZ-R-5	Food	high_confidence_microbe	3	Microbe	Microbe
LLM:lactobacillus_johnsonii_glj001	Lactobacillus johnsonii GLJ001	Food	high_confidence_microbe	3	Microbe	Microbe
LLM:lactobacillus_johnsonii_n5	Lactobacillus johnsonii N5	Food	high_confidence_microbe	3	Microbe	Microbe
LLM:lactobacillus_johnsonii_extracellular_vesicles	Lactobacillus johnsonii extracellular vesicles	Food	high_confidence_microbe	3	Microbe	Bioactive
LLM:lactobacillus_paracasei_wis43	Lactobacillus paracasei WIS43	Food	high_confidence_microbe	3	Microbe	Microbe
LLM:lactobacillus_plantarum_17-1	Lactobacillus plantarum 17-1	Food	high_confidence_microbe	3	Microbe	Microbe
LLM:lactobacillus_plantarum_an1	Lactobacillus plantarum AN1	Food	high_confidence_microbe	3	Microbe	Microbe
LLM:lactobacillus_plantarum_hnu082	Lactobacillus plantarum HNU082	Food	high_confidence_microbe	3	Microbe	Microbe
LLM:lactobacillus_plantarum_lr002	Lactobacillus plantarum LR002	Food	high_confidence_microbe	3	Microbe	Microbe
LLM:lactobacillus_plantarum_ujs001_extracellular_vesicles	Lactobacillus plantarum UJS001 extracellular vesicles	Food	high_confidence_microbe	3	Microbe	Bioactive
LLM:lactobacillus_plantarum_yw11_exopolysaccharide	Lactobacillus plantarum YW11 exopolysaccharide	Food	high_confidence_microbe	3	Microbe	Bioactive
LLM:lactobacillus_plantarum-12	Lactobacillus plantarum-12	Food	high_confidence_microbe	3	Microbe	Microbe
LLM:lactobacillus_rhamnosus_kbl2290	Lactobacillus rhamnosus KBL2290	Food	high_confidence_microbe	3	Microbe	Microbe
LLM:lactobacillus_salivarius_ucc118	Lactobacillus salivarius UCC118	Food	high_confidence_microbe	3	Microbe	Microbe
LLM:bifidobacterium_longum_subsp_longum_ys108r_exopolysaccharide	Bifidobacterium longum subsp. longum YS108R exopolysaccharide	Food	medium_microbe	3	Microbe	Bioactive
LLM:chinese_yam_polysaccharide_cyp-1	Chinese yam polysaccharide CYP-1	Food	medium_microbe	3	Microbe	Bioactive
LLM:companilactobacillus_crustorum_mn047	Companilactobacillus crustorum MN047	Food	medium_microbe	3	Microbe	Microbe
LLM:dgps-2b_arabinoxylan	DGPS-2B arabinoxylan	Food	medium_microbe	3	Microbe	Bioactive
LLM:diesel_pm2_5	Diesel PM2.5	Food	medium_microbe	3	Microbe	keep
LLM:enterococcus_faecium_kimate-x_and_lactobacillus_plantarum_kimate-f	Enterococcus faecium Kimate-X and Lactobacillus plantarum Kimate-F	Food	medium_microbe	3	Microbe	keep
LLM:escherichia_coli_nissle_1917_engineered_with_catalase_and_superoxide_dismutase	Escherichia coli Nissle 1917 engineered with catalase and superoxide dismutase	Food	medium_microbe	3	Microbe	Microbe
LLM:escherichia_coli_nissle_1917_expressing_elafin	Escherichia coli Nissle 1917 expressing Elafin	Food	medium_microbe	3	Microbe	Microbe
LLM:escherichia_coli_nissle_1917_membrane_vesicles_with_roflumilast_and_mno2	Escherichia coli Nissle 1917 membrane vesicles with roflumilast and MnO2	Food	medium_microbe	3	Microbe	Bioactive
LLM:glp-1_receptor_agonist	GLP-1 receptor agonist	Food	medium_microbe	3	Microbe	Bioactive
LLM:lacticaseibacillus_paracasei_bncc345679	Lacticaseibacillus paracasei BNCC345679	Food	medium_microbe	3	Microbe	Microbe
LLM:lacticaseibacillus_paracasei_jy062_postbiotic	Lacticaseibacillus paracasei JY062 postbiotic	Food	medium_microbe	3	Microbe	Bioactive
LLM:lacticaseibacillus_rhamnosus_ms27	Lacticaseibacillus rhamnosus MS27	Food	medium_microbe	3	Microbe	Microbe
LLM:lacticaseibacillus_rhamnosus_probio-m9	Lacticaseibacillus rhamnosus Probio-M9	Food	medium_microbe	3	Microbe	Microbe
LLM:lactiplantibacillus_lr-1_biofilm	Lactiplantibacillus LR-1 biofilm	Food	medium_microbe	3	Microbe	Microbe
