id	recommended_decision	note
LLM:ops-2071	Bioactive	drug (antibiotic candidate)
LLM:sea_buckthorn_fermented_milk_with_lactiplantibacillus_plantarum_yhg-87	keep	fermented food
LLM:tak-242	Bioactive	drug (TLR4 inhibitor, resatorvid)
LLM:tgf-beta2_enriched_food_for_special_medical_purposes	keep	medical food
LLM:vsl_3_synbiotic_with_yacon-based_concentrate	keep	combination / product
LLM:almond_gum_polysaccharide_eagp-w1	Bioactive	polysaccharide
LLM:honeysuckle_mir2911	Bioactive	plant microRNA
LLM:maggot_polysaccharide_mp-80	Bioactive	polysaccharide
LLM:orange_juice_containing_pediococcus_acidilactici_ce51	keep	food product
LLM:1h-indole-3-carboxaldehyde	Bioactive	indole metabolite (already Bioactive)
LLM:il-10	Bioactive	cytokine (already Bioactive)
LLM:il-22	Bioactive	cytokine (already Bioactive)
LLM:il-4	Bioactive	cytokine (already Bioactive)
LLM:anti-inflammatory_il-10	Bioactive	cytokine (already Bioactive)
LLM:2_-fl	Bioactive	2'-fucosyllactose (oligosaccharide)
LLM:ain93g_diet	keep	standard rodent diet
LLM:akkermansia_muciniphila_fermented_metabolites	Bioactive	fermented metabolites
LLM:bio-25_probiotic	keep	multi-strain probiotic product
LLM:bleps-1	keep	AMBIGUOUS acronym; likely an exopolysaccharide - verify, set Bioactive if so
LLM:bacillus_coagulans_fcys01_spores_chitooligosaccharides	keep	synbiotic combination
LLM:bacillus_coagulans_mtcc5856_with_sugar_cane_fibre	keep	combination
LLM:bacillus_coagulans_with_rosmarinic_acid_and_silk_fibroin	keep	combination
LLM:bifidobacterium_animalis_ssp_lactis_bx-245_powder	Microbe	strain as a powder (whole-cell prep)
LLM:bifidobacterium_animalis_ssp_lactis_bx-245-fermented_milk	keep	fermented food
LLM:cdd-2103	keep	AMBIGUOUS; likely a botanical/herbal drug formulation - verify
LLM:cawo4_ycw	keep	synthetic material construct; out-of-scope oddity
LLM:clostridium_butyricum_fermented_metabolites	Bioactive	fermented metabolites
LLM:ehlj7	keep	AMBIGUOUS acronym - verify
LLM:escherichia_coli_nissle_1917_tyrosinase_overexpressing_strain_ecn-t	Microbe	engineered strain
LLM:escherichia_coli_nissle_1917_with_fe-ta_mgn_shield	keep	microbe-in-material construct; borderline
LLM:escherichia_coli_nissle_1917_with_vitreoscilla_hemoglobin	Microbe	engineered strain
LLM:isorhamnetin-3-o-glucoside	Bioactive	flavonoid glycoside compound
LLM:lacticaseibacillus_paracasei_hy2782	Microbe	genuine strain
LLM:lactiplantibacillus_plantarum_fbt215	Microbe	genuine strain
LLM:lactiplantibacillus_plantarum_imc513	Microbe	genuine strain
LLM:lactobacillus_delbrueckii_cidca_133_pexu_hsp65_milk_ferment	keep	engineered-strain milk ferment
LLM:lactobacillus_fermentum_fermented_whey	keep	fermented food
LLM:lactobacillus_paracasei_tk1501_fermented_soybean	keep	fermented food
LLM:lactobacillus_paracasei_expressing_porcine_tff3_and_egf	Microbe	engineered strain
LLM:lactobacillus_paracasei_subsp_paracasei_ntu_101	Microbe	genuine strain
LLM:limosilactobacillus_fermentum_hfy06	Microbe	genuine strain
LLM:limosilactobacillus_fermentum_im57	Microbe	genuine strain
LLM:limosilactobacillus_fermentum_ir62	Microbe	genuine strain
LLM:limosilactobacillus_reuteri_r2lc	Microbe	genuine strain
LLM:lpmp-8	keep	AMBIGUOUS acronym; likely a polysaccharide - verify
LLM:nmw1	keep	AMBIGUOUS acronym - verify
LLM:nmw2	keep	AMBIGUOUS acronym - verify
LLM:pat1_loss	keep	host gene knockout condition; out-of-scope oddity
LLM:pr39_peptide	Bioactive	peptide
LLM:sel001	keep	AMBIGUOUS acronym - verify
LLM:slc26a6	keep	host transporter gene; out-of-scope oddity
LLM:saccharomyces_cerevisiae_fermentation_product	keep	fermentation product / preparation
LLM:strain_gr-4	Microbe	a microbial strain
LLM:vitamin_a_and_bifidobacterium_longum_subsp_infantis_ccfm1426_combination	keep	combination
LLM:arabinoxylan_and_lactobacillus_fermentum_hfy06_synbiotic	keep	synbiotic combination
LLM:corn_with_3-hf_anthocyanins	keep	food
LLM:heat-killed_lactobacillus_casei_dkgf7	Microbe	heat-killed cells (whole-cell prep)
LLM:human_muc2	keep	host mucin protein; out-of-scope oddity
LLM:licorice_endophyte_jtzb55	Microbe	endophytic microbe strain
LLM:petunidin_3-o-_rhamnopyranosyl-_trans-p-coumaroyl_-5-o-_beta-d-glucopyranoside	Bioactive	anthocyanin compound
LLM:yacon_juice_fermented_by_lactiplantibacillus_plantarum_qs7t	keep	fermented food
