id	label	type
CHEBI:15891	Taurine	Bioactive
CHEBI:15901	5,6-Dihydrouracil	Bioactive
CHEBI:15903	beta-D-Glucose	Bioactive
CHEBI:15905	D-4'-Phosphopantothenate	Bioactive
CHEBI:15915	ADP-L-glycero-beta-D-manno-heptose	Bioactive
CHEBI:15946	D-Fructose 6-phosphate	Bioactive
CHEBI:15971	L-Histidine	Bioactive
CHEBI:15976	(Indol-3-yl)glycolaldehyde	Bioactive
CHEBI:15987	Trithionate	Bioactive
CHEBI:15999	3-(4-Hydroxyphenyl)pyruvate	Bioactive
CHEBI:16001	3-Phospho-D-glyceroyl phosphate	Bioactive
CHEBI:16007	Methanethiol	Bioactive
CHEBI:16015	L-Glutamate	Bioactive
CHEBI:16031	(Indol-3-yl)acetamide	Bioactive
CHEBI:16050	N-Acetylisatin	Bioactive
CHEBI:16064	3-Deoxy-D-manno-octulosonate	Bioactive
CHEBI:16108	Glycerone phosphate	Bioactive
CHEBI:16113	Cholesterol	Bioactive
CHEBI:16119	Shikimate	Bioactive
CHEBI:16136	Hydrogen sulfide	Bioactive
CHEBI:16160	O-Succinyl-L-homoserine	Bioactive
CHEBI:16189	Sulfate	Bioactive
CHEBI:16193	3-Hydroxybenzoate	Bioactive
CHEBI:16196	oleic acid	Bioactive
CHEBI:16218	beta-D-Glucose 1-phosphate	Bioactive
CHEBI:16236	Ethanol	Bioactive
CHEBI:16243	quercetin	Bioactive
CHEBI:16257	5-O-(1-Carboxyvinyl)-3-phosphoshikimate	Bioactive
CHEBI:16264	UDP-N-acetyl-alpha-D-glucosamine	Bioactive
CHEBI:16265	Succinate semialdehyde	Bioactive
CHEBI:16291	1-Alkyl-2-acetyl-sn-glycerol	Bioactive
CHEBI:16298	D-Mannitol 1-phosphate	Bioactive
CHEBI:16308	Sucrose 6'-phosphate	Bioactive
CHEBI:16325	Lithocholic acid	Bioactive
CHEBI:16348	beta-Nitropropanoate	Bioactive
CHEBI:16359	Cholic acid	Bioactive
CHEBI:16452	Oxaloacetate	Bioactive
CHEBI:16457	S,S-Dimethyl-beta-propiothetin	Bioactive
CHEBI:16466	3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestan-26-al	Bioactive
CHEBI:16496	3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestane	Bioactive
CHEBI:16510	3-Hydroxypropanoate	Bioactive
CHEBI:16551	alpha,alpha-Trehalose	Bioactive
CHEBI:16567	Anthranilate	Bioactive
CHEBI:16577	3alpha,7alpha-Dihydroxy-5beta-cholestanate	Bioactive
CHEBI:16583	Diacetyl	Bioactive
CHEBI:16610	Spermidine	Bioactive
CHEBI:16630	3-Dehydroshikimate	Bioactive
CHEBI:16634	raffinose	Bioactive
CHEBI:16643	L-Methionine	Bioactive
CHEBI:16675	Quinolinate	Bioactive
CHEBI:16682	N-Acetyl-beta-alanine	Bioactive
CHEBI:16703	Levan	Bioactive
CHEBI:16717	(Z)-But-2-ene-1,2,3-tricarboxylate	Bioactive
CHEBI:16723	4-Methylthio-2-oxobutanoic acid	Bioactive
CHEBI:16724	4-Hydroxybutanoic acid	Bioactive
CHEBI:16755	Chenodeoxycholate	Bioactive
CHEBI:16763	2-Oxobutanoate	Bioactive
CHEBI:16765	Tryptamine	Bioactive
CHEBI:16796	Melatonin	Bioactive
CHEBI:16810	2-Oxoglutarate	Bioactive
CHEBI:16812	(S,S)-Butane-2,3-diol	Bioactive
CHEBI:16813	Galactitol	Bioactive
CHEBI:16828	L-tryptophan	Bioactive
CHEBI:16865	4-Aminobutanoate	Bioactive
CHEBI:16870	sn-Glycero-3-phosphocholine	Bioactive
CHEBI:16881	Indole	Bioactive
CHEBI:16886	2-Aminomuconate	Bioactive
CHEBI:16899	D-mannitol	Bioactive
CHEBI:16905	D-Fructose 1,6-bisphosphate	Bioactive
CHEBI:16929	sn-Glycero-3-phosphoethanolamine	Bioactive
CHEBI:16942	Lipid X	Bioactive
CHEBI:16946	L-Kynurenine	Bioactive
CHEBI:16958	beta-Alanine	Bioactive
CHEBI:16967	gamma-Oxalocrotonate	Bioactive
CHEBI:16982	(R,R)-Butane-2,3-diol	Bioactive
CHEBI:16997	Propane-1,2-diol	Bioactive
CHEBI:17044	Sorbitol 6-phosphate	Bioactive
CHEBI:17052	Shikimate 3-phosphate	Bioactive
CHEBI:17053	L-Aspartate	Bioactive
CHEBI:17057	Cellobiose	Bioactive
CHEBI:17084	2-Hydroxyglutarate	Bioactive
CHEBI:17106	1-Alkyl-sn-glycero-3-phosphate	Bioactive
CHEBI:17109	7,8-Dihydro-7,8-dihydroxykynurenate	Bioactive
CHEBI:17111	5-Phospho-alpha-D-ribose 1-diphosphate	Bioactive
CHEBI:17113	erythritol	Bioactive
CHEBI:17115	L-Serine	Bioactive
CHEBI:17151	xylitol	Bioactive
CHEBI:17153	Propanal	Bioactive
CHEBI:17158	Methylglyoxal	Bioactive
CHEBI:17164	stachyose	Bioactive
CHEBI:17197	O-Alkylglycerone phosphate	Bioactive
CHEBI:17260	Butanoylphosphate	Bioactive
CHEBI:17272	Propanoate	Bioactive
CHEBI:17278	3alpha,7alpha,12alpha,26-Tetrahydroxy-5beta-cholestane	Bioactive
CHEBI:172917	Glucoselysine-6-phosphate	Bioactive
CHEBI:17293	2-Aminophenoxazin-3-one	Bioactive
CHEBI:17295	L-Phenylalanine	Bioactive
CHEBI:17306	Maltose	Bioactive
CHEBI:17333	Chorismate	Bioactive
CHEBI:17369	D-Mannose 6-phosphate	Bioactive
CHEBI:17380	3-Hydroxy-L-kynurenine	Bioactive
CHEBI:17383	GDP-glucose	Bioactive
CHEBI:17429	3-Ketosucrose	Bioactive
CHEBI:17437	Dimethyl sulfide	Bioactive
CHEBI:17442	4-(2-Aminophenyl)-2,4-dioxobutanoate	Bioactive
CHEBI:17453	Methylmalonate	Bioactive
CHEBI:17473	1-O-Alkyl-2-acetyl-3-acyl-sn-glycerol	Bioactive
CHEBI:17476	O-1-Alk-1-enyl-2-acyl-sn-glycero-3-phosphoethanolamine	Bioactive
CHEBI:17500	7alpha-Hydroxycholesterol	Bioactive
CHEBI:17508	7,8-Dihydroxykynurenate	Bioactive
CHEBI:17521	Quinate	Bioactive
CHEBI:17530	L-Arogenate	Bioactive
CHEBI:17545	Indole-3-acetaldehyde oxime	Bioactive
CHEBI:17555	2-Acetyl-1-alkyl-sn-glycero-3-phosphate	Bioactive
CHEBI:17561	L-Cysteine	Bioactive
CHEBI:17566	3-Indoleacetonitrile	Bioactive
CHEBI:17568	Uracil	Bioactive
CHEBI:17588	L-Homocysteine	Bioactive
CHEBI:17623	Cyclomaltodextrin	Bioactive
CHEBI:17665	alpha-D-Glucose 6-phosphate	Bioactive
CHEBI:17687	Glycocholate	Bioactive
CHEBI:17697	N-Acetylserotonin	Bioactive
CHEBI:17703	Cholest-5-ene-3beta,26-diol	Bioactive
CHEBI:17709	Adenylyl sulfate	Bioactive
CHEBI:17716	lactose	Bioactive
CHEBI:17719	beta-D-Glucose 6-phosphate	Bioactive
CHEBI:17720	2,3-Bisphospho-D-glycerate	Bioactive
CHEBI:17728	S-Methyl-L-methionine	Bioactive
CHEBI:17750	glycine betaine	Bioactive
CHEBI:17769	4-Aminobutyraldehyde	Bioactive
CHEBI:17780	5-Hydroxy-L-tryptophan	Bioactive
CHEBI:17784	2-Amino-2-deoxy-D-gluconate	Bioactive
CHEBI:17787	UDP-2,3-bis(3-hydroxytetradecanoyl)glucosamine	Bioactive
CHEBI:17790	Methanol	Bioactive
CHEBI:17794	3-Phospho-D-glycerate	Bioactive
CHEBI:17810	Plasmenylcholine	Bioactive
CHEBI:17814	Salicin	Bioactive
CHEBI:17824	Propan-2-ol	Bioactive
CHEBI:17827	2-(Methylthio)ethanesulfonate	Bioactive
CHEBI:17828	2,3-Dihydroxyindole	Bioactive
CHEBI:17832	1-(1-Alkenyl)-sn-glycero-3-phosphocholine	Bioactive
CHEBI:17835	2-Phospho-D-glycerate	Bioactive
CHEBI:17840	Indoxyl	Bioactive
CHEBI:17890	Indole-3-ethanol	Bioactive
CHEBI:17895	L-tyrosine	Bioactive
CHEBI:17899	7alpha-Hydroxycholest-4-en-3-one	Bioactive
CHEBI:17909	Sulfur	Bioactive
CHEBI:179102	3-Benzylmalic acid	Bioactive
CHEBI:17924	D-Sorbitol	Bioactive
CHEBI:17925	alpha-D-Glucose	Bioactive
CHEBI:17947	3-Dehydroquinate	Bioactive
CHEBI:17960	3-Oxopropanoate	Bioactive
CHEBI:17968	Butanoic acid	Bioactive
CHEBI:17980	3'-Phosphoadenylyl sulfate	Bioactive
CHEBI:17981	O-Acetyl-L-serine	Bioactive
CHEBI:17985	Adenosine 3',5'-bisphosphate	Bioactive
CHEBI:17992	Sucrose	Bioactive
CHEBI:17997	Nitrogen	Bioactive
CHEBI:18005	Phenylpyruvate	Bioactive
CHEBI:18012	Fumarate	Bioactive
CHEBI:18021	Phosphoenolpyruvate	Bioactive
CHEBI:18033	2-Formylaminobenzaldehyde	Bioactive
CHEBI:18041	(S)-Lactaldehyde	Bioactive
CHEBI:18066	UDP-glucose	Bioactive
CHEBI:18086	Indole-3-acetaldehyde	Bioactive
CHEBI:18090	3-Aminopropanal	Bioactive
CHEBI:18105	D-Fructose 1-phosphate	Bioactive
CHEBI:18112	2-Aminophenol	Bioactive
CHEBI:18139	trimethylamine	Bioactive
CHEBI:181422	2-Oxo-4-phenylbutyric acid	Bioactive
CHEBI:18148	alpha-D-Glucose 1,6-bisphosphate	Bioactive
CHEBI:18150	2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate	Bioactive
CHEBI:181931	2-Benzylmalic acid	Bioactive
CHEBI:18207	N-Acetyl-D-galactosamine 6-phosphate	Bioactive
CHEBI:18232	D-Galactosamine 6-phosphate	Bioactive
CHEBI:18246	Cellulose	Bioactive
CHEBI:18261	3-Ureidopropionate	Bioactive
CHEBI:18269	Dextran	Bioactive
CHEBI:18283	alpha,alpha'-Trehalose 6-phosphate	Bioactive
CHEBI:18295	histamine	Bioactive
CHEBI:18299	Indoleglycerol phosphate	Bioactive
CHEBI:18300	Maleic acid	Bioactive
CHEBI:18305	Arbutin	Bioactive
CHEBI:18308	Acrylic acid	Bioactive
CHEBI:18323	beta-Alanyl-N(pi)-methyl-L-histidine	Bioactive
CHEBI:18344	4-Hydroxy-2-quinolinecarboxylic acid	Bioactive
CHEBI:18359	Acyl-carrier protein	Bioactive
CHEBI:18380	Lipid A disaccharide	Bioactive
CHEBI:18398	Maltodextrin	Bioactive
CHEBI:18402	3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestanoate	Bioactive
CHEBI:18409	(S)-2-Acetolactate	Bioactive
CHEBI:18431	7alpha,27-Dihydroxycholesterol	Bioactive
CHEBI:186792	Avideoxycholate	Bioactive
CHEBI:19000	1-Alkenyl-2-acylglycerol	Bioactive
CHEBI:190398	2-(alpha-Hydroxypropyl)thiamine diphosphate	Bioactive
CHEBI:2009	5-(2'-Carboxyethyl)-4,6-dihydroxypicolinate	Bioactive
CHEBI:2010	5-(2'-Formylethyl)-4,6-dihydroxypicolinate	Bioactive
CHEBI:20109	3-Methoxyanthranilate	Bioactive
CHEBI:2012	5-(3'-Carboxy-3'-oxopropenyl)-4,6-dihydroxypicolinate	Bioactive
CHEBI:2013	5-(3'-Carboxy-3'-oxopropyl)-4,6-dihydroxypicolinate	Bioactive
CHEBI:2065	5-Hydroxy-N-formylkynurenine	Bioactive
CHEBI:2089	5-Methoxytryptamine	Bioactive
CHEBI:2149	5beta-Cyprinolsulfate	Bioactive
CHEBI:21615	N-Acetylmuramate	Bioactive
CHEBI:2195	6-Hydroxykynurenate	Bioactive
CHEBI:2198	6-Hydroxymelatonin	Bioactive
CHEBI:2233	6-Phospho-beta-D-glucosyl-(1,4)-D-glucose	Bioactive
CHEBI:22798	beta-D-Glucoside	Bioactive
CHEBI:2288	7alpha,12alpha-Dihydroxy-5beta-cholestan-3-one	Bioactive
CHEBI:2290	7alpha-Hydroxy-5beta-cholestan-3-one	Bioactive
CHEBI:23053	catechin	Bioactive
CHEBI:2323	8-Methoxykynurenate	Bioactive
CHEBI:24109	Fructoselysine	Bioactive
CHEBI:24151	oligosaccharide	Bioactive
CHEBI:24482	fructan	Bioactive
CHEBI:2509	agar	Food
CHEBI:27376	Methanesulfonic acid	Bioactive
CHEBI:27379	3alpha,7alpha,12alpha-Trihydroxy-5beta-24-oxocholestanoyl-CoA	Bioactive
CHEBI:27393	(24E)-3alpha,7alpha-Dihydroxy-5beta-cholest-24-enoyl-CoA	Bioactive
CHEBI:27403	(24R,25R)-3alpha,7alpha,24-Trihydroxy-5beta-cholestanoyl-CoA	Bioactive
CHEBI:27413	3-Aminopropiononitrile	Bioactive
CHEBI:27421	3-Hydroxykynurenamine	Bioactive
CHEBI:27422	Lauroyl-KDO2-lipid IV(A)	Bioactive
CHEBI:27428	3alpha,7alpha-Dihydroxy-5beta-cholestan-26-al	Bioactive
CHEBI:27432	alpha-linolenic acid	Bioactive
CHEBI:27439	3-Deoxy-D-manno-octulosonyl-lipid IV(A)	Bioactive
CHEBI:27444	3-Butyn-1-ol	Bioactive
CHEBI:27505	(24E)-3alpha,7alpha,12alpha-Trihydroxy-5beta-cholest-24-enoyl-CoA	Bioactive
CHEBI:27593	4-(2-Amino-3-hydroxyphenyl)-2,4-dioxobutanoate	Bioactive
CHEBI:27597	5-Hydroxyindolepyruvate	Bioactive
CHEBI:27631	5-Hydroxyindoleacetylglycine	Bioactive
CHEBI:27749	beta-Alanyl-L-lysine	Bioactive
CHEBI:27762	3-Hydroxypropionyl-CoA	Bioactive
CHEBI:27821	(S)-Methylmalonate semialdehyde	Bioactive
CHEBI:27823	5-Hydroxyindoleacetate	Bioactive
CHEBI:27922	Sorbose	Bioactive
CHEBI:27957	Hydroxyacetone	Bioactive
CHEBI:27963	KDO2-lipid A	Bioactive
CHEBI:28017	Starch	Bioactive
CHEBI:28037	N-Acetyl-D-galactosamine	Bioactive
CHEBI:28047	3alpha,7alpha-Dihydroxy-5beta-cholestane	Bioactive
CHEBI:2807	Arbutin 6-phosphate	Bioactive
CHEBI:28088	genistein	Bioactive
CHEBI:28102	Amylose	Bioactive
CHEBI:28136	N-Methyltryptamine	Bioactive
CHEBI:28180	3-Butyn-1-al	Bioactive
CHEBI:28189	Isomaltose	Bioactive
CHEBI:28197	daidzein	Bioactive
CHEBI:28254	3-Methyldioxyindole	Bioactive
CHEBI:28262	Dimethyl sulfoxide	Bioactive
CHEBI:28281	5-Methoxyindoleacetate	Bioactive
CHEBI:28339	Lactose 6'-phosphate	Bioactive
CHEBI:28350	4-(2-Amino-5-hydroxyphenyl)-2,4-dioxobutanoate	Bioactive
CHEBI:28364	all-cis-5,8,11,14,17-icosapentaenoic acid	Bioactive
CHEBI:28477	4-Cholesten-7alpha,12alpha-diol-3-one	Bioactive
CHEBI:28499	kaempferol	Bioactive
CHEBI:28522	4-Hydroxybutyryl-CoA	Bioactive
CHEBI:28526	KDO2-lipid IVA	Bioactive
CHEBI:28533	3alpha,7alpha-Dihydroxy-5beta-24-oxocholestanoyl-CoA	Bioactive
CHEBI:28540	3alpha,7alpha,26-Trihydroxy-5beta-cholestane	Bioactive
CHEBI:28549	3-Methylindolepyruvate	Bioactive
CHEBI:28578	2-Hydroxyglutaryl-CoA	Bioactive
CHEBI:28613	Formyl-N-acetyl-5-methoxykynurenamine	Bioactive
CHEBI:28645	D-fructose	Bioactive
CHEBI:28663	Galactitol 1-phosphate	Bioactive
CHEBI:28673	3-Oxopropionyl-CoA	Bioactive
CHEBI:28675	Dextrin	Bioactive
CHEBI:28681	Chitobiose	Bioactive
CHEBI:28701	Chenodeoxycholoyl-CoA	Bioactive
CHEBI:28712	beta-Alanyl-L-arginine	Bioactive
CHEBI:28715	5-Hydroxykynurenamine	Bioactive
CHEBI:28736	Formyl-5-hydroxykynurenamine	Bioactive
CHEBI:28747	Picolinic acid	Bioactive
CHEBI:28778	1-alpha-D-[(1->4)-alpha-D-Glucosyl](n-1)-alpha-D-glucopyranoside	Bioactive
CHEBI:28790	Serotonin	Bioactive
CHEBI:28799	4,6-Dihydroxyquinoline	Bioactive
CHEBI:28831	Propane-1-ol	Bioactive
CHEBI:28834	Deoxycholic acid	Bioactive
CHEBI:28865	Taurocholate	Bioactive
CHEBI:28883	4,8-Dihydroxyquinoline	Bioactive
CHEBI:28885	1-Butanol	Bioactive
CHEBI:28942	CDP-glucose	Bioactive
CHEBI:29028	Glucobrassicin	Bioactive
CHEBI:29042	D-Glucose 1-phosphate	Bioactive
CHEBI:29052	D-Glyceraldehyde 3-phosphate	Bioactive
CHEBI:29056	2,3,2'3'-Tetrakis(3-hydroxytetradecanoyl)-D-glucosaminyl-1,6-beta-D-glucosamine 1,4'-bisphosphate	Bioactive
CHEBI:29073	Ascorbate	Bioactive
CHEBI:29112	1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate	Bioactive
CHEBI:29750	Indolepyruvate	Bioactive
CHEBI:29934	Prephenate	Bioactive
CHEBI:30089	acetate	Bioactive
CHEBI:30249	L-Formylkynurenine	Bioactive
CHEBI:30854	indole-3-acetate	Bioactive
CHEBI:30879	alcohol	Food
CHEBI:30909	1-Organyl-2-lyso-sn-glycero-3-phosphocholine	Bioactive
CHEBI:30911	sorbitol	Bioactive
CHEBI:33539	Thiosulfate	Bioactive
CHEBI:34310	Cerebrosterol	Bioactive
CHEBI:34533	Amaranth	Food
CHEBI:34778	glycitein	Bioactive
CHEBI:3523	Cellodextrin	Bioactive
CHEBI:35436	D-Glucoside	Bioactive
CHEBI:36062	3,4-Dihydroxybenzoate	Bioactive
CHEBI:36274	Glycochenodeoxycholate	Bioactive
CHEBI:36408	5-Hydroxykynurenine	Bioactive
CHEBI:36575	Formylanthranilate	Bioactive
CHEBI:36702	1-Radyl-2-acyl-sn-glycero-3-phosphocholine	Bioactive
CHEBI:36707	2-Acetyl-1-alkyl-sn-glycero-3-phosphocholine	Bioactive
CHEBI:36712	1-Alkyl-2-acylglycerophosphoethanolamine	Bioactive
CHEBI:3715	Cinnavalininate	Bioactive
CHEBI:37296	2-Acyl-1-alkyl-sn-glycero-3-phosphate	Bioactive
CHEBI:37623	Cholest-5-ene-3beta,7alpha,25-triol	Bioactive
CHEBI:37640	(24S)-Cholest-5-ene-3beta,7alpha,24-triol	Bioactive
CHEBI:37642	(25R)-3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestan-26-oyl-CoA	Bioactive
CHEBI:37671	1,3-beta-D-Glucan	Bioactive
CHEBI:38342	Sorbose 1-phosphate	Bioactive
CHEBI:3962	curcumin	Bioactive
CHEBI:4139	D-Galactose	Bioactive
CHEBI:4141	D-Galactose 6-phosphate	Bioactive
CHEBI:4167	D-Glucose	Bioactive
CHEBI:4170	D-Glucose 6-phosphate	Bioactive
CHEBI:4208	D-Mannose	Bioactive
CHEBI:422	(S)-Lactate	Bioactive
CHEBI:42255	(-)-epigallocatechin	Bioactive
CHEBI:42977	25-Hydroxycholesterol	Bioactive
CHEBI:43103	L-Homophenylalanine	Bioactive
CHEBI:43419	Isoursodeoxycholate	Bioactive
CHEBI:45713	trans-resveratrol	Bioactive
CHEBI:47039	Undecaprenyl phosphate alpha-L-Ara4N	Bioactive
CHEBI:47807	sulforaphane	Bioactive
CHEBI:47968	N-Acetylmuramic acid 6-phosphate	Bioactive
CHEBI:47977	D-Glucosamine	Bioactive
CHEBI:48153	D-Erythrose 4-phosphate	Bioactive
CHEBI:48294	N-Methylserotonin	Bioactive
CHEBI:48701	7alpha,24-Dihydroxy-4-cholesten-3-one	Bioactive
CHEBI:48825	7alpha,26-Dihydroxy-4-cholesten-3-one	Bioactive
CHEBI:48854	Sulfite	Bioactive
CHEBI:50157	5-Hydroxyindoleacetaldehyde	Bioactive
CHEBI:506227	N-Acetyl-D-glucosamine	Bioactive
CHEBI:50651	Tetradecanoyl-[acp]	Bioactive
CHEBI:51282	2-Amino-3,7-dideoxy-D-threo-hept-6-ulosonic acid	Bioactive
CHEBI:51284	6-Deoxy-5-ketofructose 1-phosphate	Bioactive
CHEBI:52023	Hyodeoxycholate	Bioactive
CHEBI:52030	Murideoxycholate	Bioactive
CHEBI:52050	(24R,25R)-3alpha,7alpha,12alpha,24-Tetrahydroxy-5beta-cholestanoyl-CoA	Bioactive
CHEBI:52595	1-Alkyl-2-acylglycerol	Bioactive
CHEBI:52857	S-Sulfanylglutathione	Bioactive
CHEBI:5291	gelatin	Food
CHEBI:60312	D-Galactosamine	Bioactive
CHEBI:60331	2-O-(6-Phospho-alpha-mannosyl)-D-glycerate	Bioactive
CHEBI:61437	Fructoselysine 6-phosphate	Bioactive
CHEBI:61537	UDP-3-O-(3-hydroxytetradecanoyl)-N-acetylglucosamine	Bioactive
CHEBI:62081	Alkanesulfonate	Bioactive
CHEBI:62415	Propionyladenylate	Bioactive
CHEBI:6435	Levanbiose	Bioactive
CHEBI:67250	secoisolariciresinol	Bioactive
CHEBI:7091	N-(5-Phospho-D-ribosyl)anthranilate	Bioactive
CHEBI:71201	Xanthurenic acid	Bioactive
CHEBI:71619	UDP-3-O-(3-hydroxytetradecanoyl)-D-glucosamine	Bioactive
CHEBI:73322	1-(1-Alkenyl)-sn-glycerol	Bioactive
CHEBI:73327	2-Acyl-1-(1-alkenyl)-sn-glycero-3-phosphate	Bioactive
CHEBI:73423	1-(1-Alkenyl)-sn-glycero-3-phosphate	Bioactive
CHEBI:77700	Methyl acetate	Bioactive
CHEBI:7916	Pantothenate	Bioactive
CHEBI:79332	Seminolipid	Bioactive
CHEBI:80218	Enzyme N6-(lipoyl)lysine	Bioactive
CHEBI:80219	Enzyme N6-(dihydrolipoyl)lysine	Bioactive
CHEBI:80368	L-Ascorbate 6-phosphate	Bioactive
CHEBI:80404	[Dihydrolipoyllysine-residue acetyltransferase] S-acetyldihydrolipoyllysine	Bioactive
CHEBI:80544	Indolylmethylthiohydroximate	Bioactive
CHEBI:80545	Indolylmethyl-desulfoglucosinolate	Bioactive
