pmid	triple_id	subject_name	subject_type	predicate	object_name	object_type	evidence_span	evidence_type	confidence	notes
38825119	T3	fermented goat milk	Food	increases_abundance_of	Rikenellaceae_RC9_gut_group	Microbe	while greatly promoting the growth of beneficial Rikenellaceae_RC9_gut_group and Eubacterium	animal	0.8	d-galactose-induced aging mouse model
38825119	T4	fermented goat milk	Food	increases_abundance_of	Eubacterium	Microbe	while greatly promoting the growth of beneficial Rikenellaceae_RC9_gut_group and Eubacterium	animal	0.8	d-galactose-induced aging mouse model
41568049	T1	Miniature Rose extract	Food	decreases_marker	ulcerative colitis	IBD_Outcome	Treatment with aqueous MR extract markedly alleviated DSS-induced colitis	animal	0.8	DSS-induced murine model of IBD
41568049	T2	Miniature Rose extract	Food	increases_abundance_of	Bacteroides	Microbe	MR administration also markedly modulated the gut microbiota, increasing the relative abundance of beneficial genera (Bacteroides and Alloprevotella)	animal	0.8	DSS-induced murine model; most emphasized taxa from single list
41568049	T3	Miniature Rose extract	Food	decreases_abundance_of	Erysipelatoclostridium	Microbe	decreasing the abundance of the pathobiont Erysipelatoclostridium	animal	0.8	DSS-induced murine model; explicitly identified as pathobiont
35805965	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
41209712	T1	Bifidobacterium longum	Microbe	increased_in	colitis	IBD_Outcome	BL@Map@Alg reduced weight loss, colon shortening, and inflammatory cytokines compared to untreated colitis	animal	0.7	Mouse DSS colitis model showing treatment effect; BL colonization demonstrated but this is an intervention outcome, not a baseline disease association.
31742681	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
36503356	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
39521604	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
40298846	T1	anthocyanin-rich extract (RED)	Food	decreases_marker	Crohn's disease-like ileitis	IBD_Outcome	we supplemented the chow diet with an anthocyanin-rich extract (RED) to evaluate disease reduction in SAMP mice and changes in fecal microbiota/metabolome. Our data reveal that 10-week supplementation with anthocyanin-rich extract ameliorated disease severity in SAMP mice	animal	0.78	SAMP mouse model of CD-like ileitis; dietary fortification with polyphenol extract
33299969	T1	Bacteroides thetaiotaomicron	Microbe	produces	tryptamine	Bioactive	engineered Bacteroides thetaiotaomicron optimized to produce tryptamine (Trp D+)	animal	0.9	DSS mouse model; engineered strain explicitly produces tryptamine
34403723	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
34895316	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
36160171	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
33593426	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
34146566	T1	Escherichia coli	Microbe	increased_in	irritable bowel syndrome	IBD_Outcome	16S-sequencing links the presence of biofilms to a dysbiotic gut microbiome, including overgrowth of Escherichia coli and Ruminococcus gnavus	cohort	0.85	Endoscopic study of 117 patients with in-depth molecular analysis; E. coli overgrowth observed in IBS patients with biofilms (57%)
34146566	T2	Ruminococcus gnavus	Microbe	increased_in	irritable bowel syndrome	IBD_Outcome	16S-sequencing links the presence of biofilms to a dysbiotic gut microbiome, including overgrowth of Escherichia coli and Ruminococcus gnavus	cohort	0.85	Endoscopic study; R. gnavus overgrowth observed in IBS patients with biofilms
34146566	T3	Escherichia coli	Microbe	increased_in	ulcerative colitis	IBD_Outcome	16S-sequencing links the presence of biofilms to a dysbiotic gut microbiome, including overgrowth of Escherichia coli and Ruminococcus gnavus	cohort	0.8	Endoscopic study; E. coli overgrowth observed in UC patients with biofilms (34%)
34146566	T4	Ruminococcus gnavus	Microbe	increased_in	ulcerative colitis	IBD_Outcome	16S-sequencing links the presence of biofilms to a dysbiotic gut microbiome, including overgrowth of Escherichia coli and Ruminococcus gnavus	cohort	0.8	Endoscopic study; R. gnavus overgrowth observed in UC patients with biofilms
34799637	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
28870406	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
39931269	T1	postbiotic	Food	decreases_marker	colitis	IBD_Outcome	mice treated with a combination of postbiotic and paraprobiotic alongside DSS exhibited a reduction in DSS-induced negative effects on both phenotypical characteristics and molecular indices, particularly the Nrf2- and NF-kB-related genes, with a notable focus on postbiotic	animal	0.78	DSS-induced colitis mouse model; postbiotic derivative from probiotic strains
39931269	T2	paraprobiotic	Food	decreases_marker	colitis	IBD_Outcome	mice treated with a combination of postbiotic and paraprobiotic alongside DSS exhibited a reduction in DSS-induced negative effects on both phenotypical characteristics and molecular indices	animal	0.75	DSS-induced colitis mouse model; paraprobiotic derivative from probiotic strains
34241567	T1	Bacteroides	Microbe	increased_in	Crohn's disease	IBD_Outcome	A dysbiosis of the bacterial community was observed in biopsies and stool. Results suggest Bacteroides is likely key in CD	cohort	0.85	Multi-cohort observational analysis (n=63 British + n=41 Dutch); Bacteroides dysbiosis explicitly named as key to CD
34241567	T2	Candida	Microbe	increased_in	Crohn's disease	IBD_Outcome	Malassezia and Candida were increased in patients taking immunosuppressants	cohort	0.75	Dutch cohort; Candida increased in CD patients; context limited to immunosuppressant-treated subset
34241567	T3	Cyberlindnera	Microbe	increased_in	Crohn's disease	IBD_Outcome	Longitudinal analysis showed an increase in Cyberlindnera in relapse	cohort	0.75	Fungal genus; explicitly increased during CD relapse phase
40123393	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
36946468	T1	Holothuria leucospilota polysaccharide	Food	decreases_marker	ulcerative colitis	IBD_Outcome	The results show that HLP alleviate the inflammation of UC and reduce histological damage and secretion of tumor necrosis factor-α (TNF-α), IL-6, IL-1β, and IL-10.	animal	0.8	DSS-induced UC rat model; HLP gavage intervention
33363049	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
38004805	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
38597152	T1	Lactiplantibacillus plantarum	Microbe	produces	indole-3-lactic acid	Bioactive	live L. plantarum DPUL-S164 (S164) and its tryptophan metabolite, ILA, showed an effective ameliorating effect on the intestinal barrier injury of mice	animal	0.85	DSS-induced UC mouse model; explicit production of ILA by L. plantarum strain
38597152	T2	indole-3-lactic acid	Food	decreases_marker	ulcerative colitis	IBD_Outcome	S164 and its tryptophan metabolite, ILA, showed an effective ameliorating effect on the intestinal barrier injury of mice treated by antibiotic cocktail and sodium dextran sulfate	animal	0.8	DSS-induced UC mouse model; ILA (tryptophan metabolite) administered as bioactive compound intervention
38029085	T1	Enterococcus	Microbe	increased_in	Crohn's disease	IBD_Outcome	40% of patients with HS had a microbiota configuration similar to that of CD, characterised by the enrichment of pathogenic genera (Enterococcus, Veillonella and Escherichia_Shigella)	cohort	0.85	n=55 HS, n=102 CD, n=95 controls; 40% of HS patients had CD-like microbiota enrichment
38029085	T2	Faecalibacterium	Microbe	decreased_in	Crohn's disease	IBD_Outcome	characterised by the enrichment of pathogenic genera (Enterococcus, Veillonella and Escherichia_Shigella) and the depletion of putatively beneficial genera (Faecalibacterium)	cohort	0.85	40% of HS patients with CD-like microbiota showed Faecalibacterium depletion
35638103	T1	Lachnospira	Microbe	decreased_in	colorectal cancer in IBD	IBD_Outcome	Lachnospira was decreased in IBD patients with cancer	cohort	0.8	Observational cohort study, n=215 IBD patients; cancer prevalence 2.8%
35638103	T2	Agathobacter	Microbe	decreased_in	ulcerative colitis	IBD_Outcome	Agathobacter was decreased... in UC patients with any neoplasia	cohort	0.8	UC subgroup with neoplasia (dysplasia or cancer); n=106 UC patients
35638103	T3	Escherichia-Shigella	Microbe	increased_in	ulcerative colitis	IBD_Outcome	Escherichia-Shigella increased in UC patients with any neoplasia	cohort	0.8	UC subgroup with neoplasia (dysplasia or cancer); n=106 UC patients
36632334	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
41905409	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
34015282	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
31059841	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
41976159	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
32268844	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
32376096	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
33746944	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
37203140	T1	Aspergillus cristatus intracellular polysaccharide	Food	decreases_marker	colitis	IBD_Outcome	IPSs-2 alleviated the typical symptoms of colitis and suppressed the excessive inflammatory mediators	animal	0.8	DSS-induced colitis mouse model
37203140	T2	Aspergillus cristatus intracellular polysaccharide	Food	increases_abundance_of	Faecalibacterium	Microbe	leverage of the gut microbiota via the enrichment of Bacteroides, Parabacteroides, Faecalibacterium, Flavonifractor_plautii, and Butyricicoccus	animal	0.8	DSS mouse model; Faecalibacterium is most emphasized SCFA-producer in the enriched taxa list
37203140	T3	Aspergillus cristatus intracellular polysaccharide	Food	increases_abundance_of	Bacteroides	Microbe	leverage of the gut microbiota via the enrichment of Bacteroides, Parabacteroides, Faecalibacterium, Flavonifractor_plautii, and Butyricicoccus	animal	0.8	DSS mouse model; most emphasized in enriched taxa list
37203140	T4	Aspergillus cristatus intracellular polysaccharide	Food	increases_marker	colitis	IBD_Outcome	IPSs protected against colitis by promoting the production of short-chain fatty acids (SCFAs)	animal	0.8	DSS mouse model; protective effect via SCFA production
39742562	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
37095601	T1	Mediterranean Diet Pattern	Food	decreases_marker	ulcerative colitis	IBD_Outcome	At week 12, 75% [9/12] of participants in the CHD had an FC >100 μg/g, vs 20% [3/15] of participants in the MDP group.	rct	0.85	RCT n=28 (15 MDP, 13 CHD), 12-week intervention, faecal calprotectin as marker of inflammation
37095601	T2	Mediterranean Diet Pattern	Food	increases_abundance_of	Alistipes finegoldii	Microbe	the MDP induced alterations in microbial species associated with a protective role in colitis [Alistipes finegoldii and Flavonifractor plautii]	rct	0.8	RCT, emphasized as protective species in UC context
37095601	T3	Mediterranean Diet Pattern	Food	increases_abundance_of	Flavonifractor plautii	Microbe	the MDP induced alterations in microbial species associated with a protective role in colitis [Alistipes finegoldii and Flavonifractor plautii]	rct	0.8	RCT, emphasized as protective species in UC context
37095601	T4	Mediterranean Diet Pattern	Food	increases_abundance_of	Ruminococcus bromii	Microbe	as well as the production of SCFAs [Ruminococcus bromii]	rct	0.8	RCT, emphasized as SCFA-producing bacterium
37571277	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
