pmid	triple_id	subject_name	subject_type	predicate	object_name	object_type	evidence_span	evidence_type	confidence	notes
39838431	T1	white kidney beans	Food	decreases_marker	ulcerative colitis	IBD_Outcome	WKB supplementation significantly alleviated DSS-induced colitis in mice, evidenced by reduced weight loss, disease activity, and improved colonic histology	animal	0.85	DSS-induced colitis mouse model; WKB is dietary food intervention
39838431	T2	white kidney beans	Food	increases_abundance_of	Akkermansia	Microbe	Metagenomic analysis showed that WKB restored gut microbiota balance, particularly enhancing beneficial bacteria like Akkermansia	animal	0.8	DSS colitis mouse model; Akkermansia explicitly emphasized as enhanced by WKB
40928712	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
37385587	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
39760067	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
39684904	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
27012773	T1	eicosapentaenoic acid monoglyceride	Food	decreases_marker	ulcerative colitis	IBD_Outcome	MAG-EPA pretreatment (12 days pre-DSS) and treatment (6 days post-DSS) exhibited strong activity in reducing severity of disease in DSS rats	animal	0.8	DSS rat model of UC; MAG-EPA (omega-3 fatty acid monoglyceride) demonstrated preventive and therapeutic effects
40713669	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
32186753	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
32544520	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
32784883	T1	Bacillus coagulans MTCC5856	Food	decreases_marker	ulcerative colitis	IBD_Outcome	Synbiotic combined supplementation ameliorated clinical symptoms and histological colonic damage scores more effectively than either B. coagulans or PSCF alone.	animal	0.78	Muc2 mutant colitic Winnie mice model of IBD; probiotic reduced colonic inflammation and damage
32784883	T2	Sugarcane fibre	Food	decreases_marker	ulcerative colitis	IBD_Outcome	Synbiotic combined supplementation ameliorated clinical symptoms and histological colonic damage scores more effectively than either B. coagulans or PSCF alone. PSCF and B. coagulans alone also induced considerable immunomodulatory effects.	animal	0.78	Prebiotic plant fibre (PSCF) reduced colonic inflammation in Winnie mice
32784883	T3	Bacillus coagulans MTCC5856	Food	contains	polysaccharide-degrading enzymes	Bioactive	Bacillus coagulans MTCC5856 spores with capability to metabolise complex plant polysaccharides	mechanistic	0.8	Probiotic strain defined by capacity to metabolize plant polysaccharides
28770667	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
40284547	T1	Clostridium nexile	Microbe	increased_in	inflammatory bowel disease	IBD_Outcome	Differences between the two groups were detected in the relative abundance of Clostridium nexile, Ruminococcus gnavus, Ruminococcus faecis, and Escherichia coli	cohort	0.75	Direct comparison of IBD patients vs healthy controls (n=60 biopsies); species composition differed between groups
40284547	T2	Ruminococcus gnavus	Microbe	increased_in	inflammatory bowel disease	IBD_Outcome	Differences between the two groups were detected in the relative abundance of Clostridium nexile, Ruminococcus gnavus, Ruminococcus faecis, and Escherichia coli	cohort	0.75	Direct comparison of IBD patients vs healthy controls; species composition differed between groups
36313095	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
34751982	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
36413449	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
33802197	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
28008837	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
31484327	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
32751360	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
32041265	T1	vegetarian diet	Food	decreases_abundance_of	Clostridiaceae	Microbe	the abundance of Clostridiaceae was significantly reduced after enema	case_control	0.75	PD intervention; 16 PD patients received vegetarian diet + 10 received additional enema; Clostridiaceae reduction observed post-intervention
32041265	T2	vegetarian diet	Food	decreases_marker	Parkinson's disease	IBD_Outcome	The UDPRS III significantly improved and the levodopa-equivalent daily dose decreased after vegetarian diet and fecal enema in a one-year follow-up.	case_control	0.75	PD symptom improvement (motor); note: IBD_Outcome is mismatched to Parkinson's but no better outcome type available; UPDRS III is primary motor outcome
41239997	T1	Larch arabinogalactan	Food	decreases_marker	colitis	IBD_Outcome	AG improves gut homeostasis in dextran sulfate sodium-induced colitis mice	animal	0.8	DSS-induced colitis model; AG is a natural polysaccharide
41239997	T2	Larch arabinogalactan	Food	increases_abundance_of	Bacteroides thetaiotaomicron	Microbe	AG notably enriched the Bacteroides, particularly Bacteroides thetaiotaomicron	animal	0.85	DSS colitis mouse model; specific species emphasized individually
41239997	T3	Bacteroides thetaiotaomicron	Microbe	produces	propionate	Bioactive	B. thetaiotaomicron exhibited anti-inflammatory activity, producing propionate	mechanistic	0.9	Explicit metabolic production
40629893	T1	probiotic LAB	Food	decreases_marker	ulcerative colitis	IBD_Outcome	supplementation with probiotic LAB could restore the abundance of Firmicutes, improve anxiety disorder, and reduce MES in UC patients with emotional disturbance	rct	0.85	RCT n=60 mild-to-moderate UC patients; Mayo Endoscopic Sub-score (MES) reduction in probiotic group (p=0.02)
40629893	T2	probiotic LAB	Food	increases_abundance_of	Firmicutes	Microbe	Fecal samples sequenced by 16S rRNA showed a significant increase in Firmicutes after receiving probiotics	rct	0.85	RCT n=60; 16S rRNA sequencing of fecal microbiota
41526538	T1	Sargassum fusiforme-derived exosome-like nanoparticles	Food	decreases_marker	ulcerative colitis	IBD_Outcome	this study investigated the protective efficacy of SELNs in mitigating Citrobacter rodentium-induced colitis. SELNs administration... significantly alleviated colitis symptoms, including body weight loss, colonic shortening, and histological damage	animal	0.75	C. rodentium-induced colitis mouse model; SELNs treated as botanical food ingredient
41526538	T2	Sargassum fusiforme-derived exosome-like nanoparticles	Food	increases_abundance_of	Muribaculum intestinale	Microbe	SELNs modulated the gut microbiota compositon, especially increasing the abundance of Muribaculum intestinale	animal	0.8	C. rodentium colitis model; most emphasized taxon in microbiota modulation section
40429958	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
32339246	T1	Faecalibacterium prausnitzii	Microbe	decreased_in	Crohn's disease	IBD_Outcome	Compared with HCs, alpha diversity in CD patients was decreased, with an observed decrease in Faecalibacterium prausnitzii and increase in Bacteroides fragilis	cohort	0.85	Observational cohort: 10 HCs vs 22 active untreated CD patients; 16S rRNA sequencing
32339246	T2	Bacteroides fragilis	Microbe	increased_in	Crohn's disease	IBD_Outcome	Compared with HCs, alpha diversity in CD patients was decreased, with an observed decrease in Faecalibacterium prausnitzii and increase in Bacteroides fragilis	cohort	0.85	Observational cohort: 10 HCs vs 22 active untreated CD patients; 16S rRNA sequencing
41765336	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
39566792	T1	wheat bran insoluble dietary fiber	Food	decreases_marker	chronic colitis	IBD_Outcome	IDFs-CB supplementation mitigated DSS-induced weight loss and reduced lesions in the colon and spleen. Levels of proinflammatory cytokines (IL-1β, IL-6, IL-8, and TNF-α) and oxidative stress markers (MPO, iNOS and MDA)were decreased, and anti-inflammatory cytokine (IL-10) and T-SOD activity were increased	animal	0.8	DSS chronic colitis mouse model; WBIDF explicitly highlighted as superior efficacy
39566792	T2	wheat bran insoluble dietary fiber	Food	decreases_abundance_of	Bacteroides	Microbe	WBIDF, MBIDF and OBIDF inhibited the growth of Muribaculaceae_unclassified, Bacteroides and Parasutterella	animal	0.8	DSS chronic colitis mouse model; Bacteroides genus
39566792	T3	wheat bran insoluble dietary fiber	Food	increases_abundance_of	Allobaculum	Microbe	WBIDF enhanced the abundance of Allobaculum	animal	0.8	DSS chronic colitis mouse model; specific individual effect noted
39566792	T4	oat bran insoluble dietary fiber	Food	decreases_marker	chronic colitis	IBD_Outcome	IDFs-CB supplementation mitigated DSS-induced weight loss and reduced lesions in the colon and spleen. Levels of proinflammatory cytokines (IL-1β, IL-6, IL-8, and TNF-α) and oxidative stress markers (MPO, iNOS and MDA)were decreased	animal	0.78	DSS chronic colitis mouse model; OBIDF second most effective
39566792	T5	oat bran insoluble dietary fiber	Food	decreases_abundance_of	Bacteroides	Microbe	WBIDF, MBIDF and OBIDF inhibited the growth of Muribaculaceae_unclassified, Bacteroides and Parasutterella	animal	0.78	DSS chronic colitis mouse model
39566792	T6	oat bran insoluble dietary fiber	Food	increases_abundance_of	Lachnospiraceae_NK4A136	Microbe	MBIDF and OBIDF increased the abundance of Lachnospiraceae_NK4A136	animal	0.78	DSS chronic colitis mouse model
39566792	T7	wheat bran insoluble dietary fiber	Food	increases_abundance_of	Candidatus_Saccharimonas	Microbe	IDFs-CB promoted the growth of Candidatus_Saccharimonas and norank_f__norank_o__Clostridia_UCG-014	animal	0.75	Candidate genus; represented in IDF-CB class
38526548	T1	stored white tea	Food	decreases_marker	ulcerative colitis	IBD_Outcome	Results of the animal experiments showed that 2011 WP ameliorated the pathological symptoms of colitis	animal	0.8	DSS-induced colitis in mice; 10-year-old white tea (2011 WP) at 200 mg kg^-1 day^-1
38526548	T2	stored white tea	Food	decreases_abundance_of	Bacteroides	Microbe	this effect was likely enhanced based on the decreasing of the relative abundance of the g_bacteroides and g_Escherichia-Shigella flora in mice with colitis	animal	0.8	Genus Bacteroides; DSS colitis model
38526548	T3	stored white tea	Food	decreases_abundance_of	Escherichia-Shigella	Microbe	this effect was likely enhanced based on the decreasing of the relative abundance of the g_bacteroides and g_Escherichia-Shigella flora in mice with colitis	animal	0.8	Genus group Escherichia-Shigella; DSS colitis model
32180979	T1	fermented rice extract	Food	decreases_marker	ulcerative colitis	IBD_Outcome	the FRe, especially at 300 mg/kg, led to a reduction in weight loss, disease activity index scores, and colon weight, and an increase in colorectal length	animal	0.8	DSS-induced UC mouse model; fermented rice extract with S. cerevisiae and W. cibaria
32180979	T2	fermented rice extract	Food	increases_abundance_of	Lactobacillus	Microbe	the number of beneficial bacteria, Lactobacilli and Bifidobacteria, was increased	animal	0.8	DSS UC mouse model; genus mapped from Lactobacilli
32180979	T3	fermented rice extract	Food	increases_abundance_of	Bifidobacterium	Microbe	the number of beneficial bacteria, Lactobacilli and Bifidobacteria, was increased	animal	0.8	DSS UC mouse model; genus mapped from Bifidobacteria
37894934	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
35889840	T1	Omega-3 fatty acid	Food	decreases_marker	ulcerative colitis	IBD_Outcome	For each Standard Deviation increase in Omega-3 FA genetic levels, the risk of ulcerative colitis was found to be reduced by 39.9% by the IVW method	meta_analysis	0.85	Mendelian randomization study with genome-wide association data from 114,999 individuals and 27,432 UC cases; significant causal protective effect
37665564	T1	sodium butyrate	Food	decreases_marker	ulcerative colitis	IBD_Outcome	Butyrate was able to attenuate colitis severity and intestinal inflammation.	animal	0.8	DSS-induced UC mouse model; sodium butyrate administered as 0.066 g/kg treatment
35718528	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
28176667	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
36824689	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
31443761	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
41519378	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
31273572	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
41540124	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
31212833	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
41816358	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
31288415	T1	Ruminococcaceae	Microbe	decreased_in	Crohn's disease	IBD_Outcome	Ruminococcaceae and Lachnospiraceae were significantly decreased in the vitamin K-deficient group in comparison to the vitamin K-normal group	cohort	0.85	Observational cohort of 26 CD patients; direct comparison shows decreased Ruminococcaceae in vitamin K deficiency (a CD-associated marker)
31288415	T2	Lachnospiraceae	Microbe	decreased_in	Crohn's disease	IBD_Outcome	Ruminococcaceae and Lachnospiraceae were significantly decreased in the vitamin K-deficient group in comparison to the vitamin K-normal group	cohort	0.85	Observational cohort of 26 CD patients; direct comparison shows decreased Lachnospiraceae in vitamin K deficiency (a CD-associated marker)
38839073	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
40888299	T1	Lactiplantibacillus plantarum fermented barley	Food	decreases_marker	ulcerative colitis	IBD_Outcome	In a DSS-induced colitis model, the three interventions exhibited a clear gradient of efficacy (LFBE > HLFBE > RBE), with the LFBE group showing the most pronounced therapeutic benefits, including minimal body weight loss (14.12% vs. 15.56% in HLFBE, 17.47% in RBE and 24.86% in Model) and a significantly lower disease activity index (2.37 vs. 2.59 in HLFBE, 2.96 in RBE and 3.29 in Model).	animal	0.85	DSS-induced colitis mouse model; clear efficacy gradient with quantitative body weight and disease activity index endpoints
40888299	T2	Lactiplantibacillus plantarum fermented barley	Food	increases_abundance_of	Akkermansia	Microbe	Gut microbiota analysis further revealed that LFBE promoted the proliferation of Akkermansia (+61.93%)	animal	0.85	DSS colitis model; quantified fold increase
40888299	T3	Lactiplantibacillus plantarum fermented barley	Food	increases_abundance_of	Lachnospiraceae	Microbe	Gut microbiota analysis further revealed that LFBE promoted the proliferation of Akkermansia (+61.93%) and Lachnospiraceae (+130.85%)	animal	0.85	DSS colitis model; quantified fold increase
40888299	T4	Lactiplantibacillus plantarum fermented barley	Food	decreases_abundance_of	Escherichia-Shigella	Microbe	Gut microbiota analysis further revealed that LFBE promoted the proliferation of Akkermansia (+61.93%) and Lachnospiraceae (+130.85%) while inhibiting the colonization of Escherichia-Shigella (-69.84%).	animal	0.85	DSS colitis model; quantified fold decrease
39738035	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
39126385	T1	Ruminococcus gnavus	Microbe	decreased_in	ulcerative colitis	IBD_Outcome	Low abundance of CAG8 and elevated abundance of Candida genus were predictive of active UC. Constituents from CAG8 were influential hub species of the remission-associated microbial UC network, including Ruminococcus gnavus	cohort	0.85	Cohort study (n=212 UC patients); R. gnavus identified as hub species in remission-associated network, implying lower abundance in active UC
39126385	T2	Erysipelatoclostridium ramosum	Microbe	decreased_in	ulcerative colitis	IBD_Outcome	Low abundance of CAG8 and elevated abundance of Candida genus were predictive of active UC. Constituents from CAG8 were influential hub species of the remission-associated microbial UC network, including Ruminococcus gnavus, Erysipelatoclostridium ramosum	cohort	0.85	Cohort study; E. ramosum identified as hub species in remission-associated network, implying lower abundance in active UC
39126385	T3	Blautia	Microbe	decreased_in	ulcerative colitis	IBD_Outcome	Low abundance of CAG8 and elevated abundance of Candida genus were predictive of active UC. Constituents from CAG8 were influential hub species of the remission-associated microbial UC network, including Ruminococcus gnavus, Erysipelatoclostridium ramosum, Blautia	cohort	0.8	Cohort study; Blautia identified as hub species in remission-associated network
31645720	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
35021085	T1	crAss-like phages	Microbe	decreased_in	inflammatory bowel disease	IBD_Outcome	identify associations between the abundance of crAss-like phages and several human phenotypes, including depletion of crAss-like phages in inflammatory bowel disease patients	cohort	0.8	1,950 individuals from four Dutch cohorts; direct observational finding of crAss-like phage depletion in IBD patients
39277703	T1	water-soluble garlic polysaccharide	Food	decreases_marker	ulcerative colitis	IBD_Outcome	WSGP supplementation increased food intake, body weight, and colon length while reducing disease activity and histological scores in colitis-afflicted mice. WSGP mitigated colonic tissue damage and restored intestinal barrier integrity	animal	0.8	DSS-induced UC mouse model; direct demonstration of disease marker reduction
31351880	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
31961456	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
39073916	T1	Bifidobacterium adolescentis	Microbe	decreased_in	ulcerative colitis	IBD_Outcome	combined S100A8 and S100A9 potently inhibiting beneficial Bifidobacterium adolescentis	mechanistic	0.65	In vitro study showing protein effects on B. adolescentis in UC context; mechanistic evidence of susceptibility
32885438	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
38164702	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
30811137	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
40714403	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
36380275	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
32630805	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
36671814	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
33191778	T1	Escherichia coli Nissle 1917	Food	decreases_marker	ulcerative colitis	IBD_Outcome	EcN presented beneficial effects when administered preventively. Daily Disease Activity Index (DAI) evolution demonstrated significant difference in remission periods after the first two DSS cycles	animal	0.8	DSS chronic colitis model in mice; probiotic administered preventively
34395495	T1	fermented-germinated foxtail millet flour	Food	decreases_marker	ulcerative colitis	IBD_Outcome	foxtail millet whole grain-based diets could alleviate the symptoms of enteritis to varying degrees	animal	0.8	DSS-induced colitis mouse model; FG-FM diet showed strongest protective effects
34395495	T2	fermented-germinated foxtail millet flour	Food	increases_abundance_of	Firmicutes	Microbe	16S rRNA gene sequencing revealed that FG-FM almost completely alleviated DSS-induced dysbiosis	animal	0.7	Abstract reports microbiota restoration but does not specify individual taxa explicitly; strong dysbiosis correction indicated
34395495	T3	fermented-germinated foxtail millet flour	Food	decreases_marker	intestinal inflammation	IBD_Outcome	Mice on the FG-FM diet also had the lowest plasma IL-6 levels and claudin2 expression levels in the colon, indicating reduced systemic inflammation and improved gut barrier function	animal	0.8	IL-6 and claudin markers of inflammation and barrier function
30826665	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
37240476	T1	Bifidobacterium bifidum G9-1	Food	decreases_marker	diarrhea-predominant irritable bowel syndrome	IBD_Outcome	Treatment with BBG9-1 tended to reduce the IBS severity index in the studied patients	cohort	0.75	Prospective pilot study in quiescent CD patients with IBS-D-like symptoms; n=11; probiotic intervention improving IBS severity
37240476	T2	Bifidobacterium bifidum G9-1	Food	increases_abundance_of	Bacteroides	Microbe	it suppressed the serum MCP-1 level significantly and increased the abundance of intestinal Bacteroides in the study patients	cohort	0.8	Direct microbiome effect of BBG9-1 treatment
30308161	T1	core gut microbiota	Microbe	decreased_in	ulcerative colitis	IBD_Outcome	Depletion of core gut microbes and expansion of bacteria typical of the oral cavity were associated with baseline disease severity.	cohort	0.85	Cohort of 405 pediatric new-onset UC patients; core microbes depletion associated with UC baseline severity
30308161	T2	oral cavity bacteria	Microbe	increased_in	ulcerative colitis	IBD_Outcome	Depletion of core gut microbes and expansion of bacteria typical of the oral cavity were associated with baseline disease severity.	cohort	0.8	Expansion of oral cavity-type bacteria observed in UC patients with higher disease severity
41261419	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
36902401	T1	Faecalibacterium	Microbe	decreased_in	Crohn's disease	IBD_Outcome	Faecalibacterium, Ruminococcus, Clostridium and Subdoligranum were decreased in EVs from control patients compared with the other three groups of patients.	cohort	0.75	Metagenomic analysis comparing healthy controls vs CD and other disease groups. Lower abundance in EVs from control subjects implies higher abundance in CD.
36902401	T2	Ruminococcus	Microbe	decreased_in	Crohn's disease	IBD_Outcome	Faecalibacterium, Ruminococcus, Clostridium and Subdoligranum were decreased in EVs from control patients compared with the other three groups of patients.	cohort	0.75	Metagenomic analysis; lower in control EVs means higher in disease groups (CD included).
36902401	T3	Akkermansia	Microbe	increased_in	Crohn's disease	IBD_Outcome	Akkermansia were increased in EVs from the CD group compared with the morbid obesity and diarrhea groups.	cohort	0.8	Direct observation in CD EV composition vs other patient groups
39005453	T1	N-acetylglucosamine	Food	decreases_marker	Crohn's disease	IBD_Outcome	oral monosaccharide therapy with N-acetylglucosamine ameliorates the epithelial N-glycan defect, bile acid dyshomeostasis, intestinal permeability, and susceptibility to chemical-induced colitis in a mouse model of ZIP8 391-Thr	animal	0.8	Mouse model of ZIP8 391-Thr; monosaccharide supplementation reduced disease-associated features
40901166	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
37834065	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
39131720	T1	Actinobacteriota	Microbe	increased_in	ulcerative colitis	IBD_Outcome	the abundance of the phylum Actinobacteriota was strongly associated with disease activity	animal	0.8	DSS-induced colitis in BALB/c mice; strong association with disease activity
39131720	T2	Roseburia	Microbe	decreased_in	ulcerative colitis	IBD_Outcome	We also observed the expansion of butyrate-producing Roseburia species in mice with decreased susceptibility of the disease	animal	0.8	DSS-induced colitis in BALB/c mice; Roseburia expansion associated with decreased disease susceptibility
39131720	T3	Roseburia	Microbe	produces	butyrate	Bioactive	expansion of butyrate-producing Roseburia species	animal	0.85	Explicit metabolic function annotation
33677550	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
41527294	T1	intermittent ketogenic diet	Food	decreases_marker	Crohn's disease	IBD_Outcome	IKD alleviated colonic inflammation, but IKD better prevented epithelial senescence	animal	0.85	IL-10 knockout colitis model; IKD showed superior outcomes vs KD and normal diet
41527294	T2	intermittent ketogenic diet	Food	increases_abundance_of	Akkermansia muciniphila	Microbe	IKD also enriched Akkermansia muciniphila, supporting gut and systemic BHB levels	animal	0.85	IL-10 knockout colitis model; A. muciniphila enrichment directly associated with IKD intervention
40076493	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
37077514	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
35935217	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
39732609	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
28067377	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
41270175	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
32232080	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
38759313	T1	Narirutin	Food	decreases_marker	ulcerative colitis	IBD_Outcome	NR administration suppressed DSS-induced colitis as reflected in a decrease in body weight loss, DAI score, colon length shortening, and histological score	animal	0.8	DSS-induced UC mouse model; narirutin is a flavonoid naturally present in citrus fruits
38759313	T2	Narirutin	Food	increases_abundance_of	Lactobacillaceae	Microbe	the intestinal flora of mice with colitis exhibited richer microbial diversity following NR administration, with elevated abundance of Lactobacillaceae (Lactobacillus)	animal	0.8	16S rRNA sequencing; DSS UC mouse model
38759313	T3	Narirutin	Food	decreases_abundance_of	Bacteroides	Microbe	with decreased abundance of Bacteroidaceae (Bacteroides) and Shigella	animal	0.8	16S rRNA sequencing; DSS UC mouse model
29416535	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
29610731	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
39929833	T1	Bifidobacterium longum NSP001-derived extracellular vesicles	Food	decreases_marker	ulcerative colitis	IBD_Outcome	NEVs alleviate UC by improving intestinal barrier, modulating immune cell differentiation, and promoting the production of SCFAs	animal	0.8	Animal (DSS-induced UC) model; extracellular vesicles mapped as Food (postbiotic therapeutic)
40697820	T1	Akkermansia	Microbe	increased_in	colitis	IBD_Outcome	the Mcpt-4∆Cre colitis mice displayed a distinct shift in colonic microbiota composition, notably with significantly increased abundance of bacteria (Akkermansia and Turicibacter), associated with potentially worsened inflammation in colitis models	animal	0.8	DSS-induced colitis mouse model; direct observational microbiota measurement in colitis group
40697820	T2	Turicibacter	Microbe	increased_in	colitis	IBD_Outcome	the Mcpt-4∆Cre colitis mice displayed a distinct shift in colonic microbiota composition, notably with significantly increased abundance of bacteria (Akkermansia and Turicibacter), associated with potentially worsened inflammation in colitis models	animal	0.8	DSS-induced colitis mouse model; direct observational microbiota measurement in colitis group
34323292	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
33708211	T1	dietary fiber	Food	decreases_marker	ulcerative colitis	IBD_Outcome	Supplementation of the most abundant SCFA, acetate, prevented no-fiber diet-mediated enrichment of colonic neutrophils and colitis pathology. Therefore, dietary fiber, possibly through the actions of acetate, plays an important role in regulating neutrophil recruitment and host protection against inflammatory colonic damage in an experimental model of colitis.	animal	0.8	DSS-induced colitis model in mice; dietary fiber deficiency worsened colitis, and fiber-derived acetate prevented pathology
33708211	T2	acetate	Food	decreases_marker	ulcerative colitis	IBD_Outcome	Supplementation of the most abundant SCFA, acetate, prevented no-fiber diet-mediated enrichment of colonic neutrophils and colitis pathology.	animal	0.85	DSS-induced colitis model; acetate supplementation prevented neutrophil recruitment and colitis symptoms
41753582	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
41554225	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
36758570	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
26719048	T1	β-casofensin	Food	decreases_marker	intestinal injury	IBD_Outcome	Preventive administration of β-casofensin (100 μM) reduced intestinal macroscopic and microscopic damage induced by indomethacin	animal	0.75	Indomethacin-induced enteritis rat model; bioactive peptide from milk mapped as Food
34612688	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
39581249	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
41723571	T1	gut microbes	Microbe	produces	indole-3-carboxaldehyde	Bioactive	Indole-3-carboxaldehyde (I3A) is an aromatic carboxaldehyde (ArA) synthesized by gut microbes from the aromatic amino acid tryptophan	mechanistic	0.9	Mechanistic production of ArA from tryptophan
41723571	T2	gut microbes	Microbe	produces	benzaldehyde	Bioactive	we identified multiple commensals with the capacity to produce selected ArAs in culture	mechanistic	0.8	ArA production includes benzaldehyde (BA) from aromatic amino acids
41723571	T3	gut microbes	Microbe	produces	4-hydroxybenzaldehyde	Bioactive	we identified multiple commensals with the capacity to produce selected ArAs in culture	mechanistic	0.8	ArA production includes 4HBA from aromatic amino acids
